x,y,z
-95.00,15.0000,-95.00
-95.00,13.1640,-85.00
-95.00,8.1060,-75.00
-95.00,1.0635,-65.00
-95.00,-6.2385,-55.00
-95.00,-12.0150,-45.00
-95.00,-14.8485,-35.00
-95.00,-14.0475,-25.00
-95.00,-9.8055,-15.00
-95.00,-3.1635,-5.00
-95.00,4.2510,5.00
-95.00,10.6275,15.00
-95.00,14.4015,25.00
-95.00,14.6490,35.00
-95.00,11.3100,45.00
-95.00,5.2020,55.00
-95.00,-2.1795,65.00
-95.00,-9.0270,75.00
-95.00,-13.6650,85.00
-85.00,24.5880,-95.00
-85.00,22.7520,-85.00
-85.00,17.6940,-75.00
-85.00,10.6515,-65.00
-85.00,3.3495,-55.00
-85.00,-2.4270,-45.00
-85.00,-5.2605,-35.00
-85.00,-4.4595,-25.00
-85.00,-.2175,-15.00
-85.00,6.4245,-5.00
-85.00,13.8390,5.00
-85.00,20.2155,15.00
-85.00,23.9895,25.00
-85.00,24.2370,35.00
-85.00,20.8980,45.00
-85.00,14.7900,55.00
-85.00,7.4085,65.00
-85.00,.5610,75.00
-85.00,-4.0770,85.00
-75.00,31.8280,-95.00
-75.00,29.9920,-85.00
-75.00,24.9340,-75.00
-75.00,17.8915,-65.00
-75.00,10.5895,-55.00
-75.00,4.8130,-45.00
-75.00,1.9795,-35.00
-75.00,2.7805,-25.00
-75.00,7.0225,-15.00
-75.00,13.6645,-5.00
-75.00,21.0790,5.00
-75.00,27.4555,15.00
-75.00,31.2295,25.00
-75.00,31.4770,35.00
-75.00,28.1380,45.00
-75.00,22.0300,55.00
-75.00,14.6485,65.00
-75.00,7.8010,75.00
-75.00,3.1630,85.00
-65.00,34.9480,-95.00
-65.00,33.1120,-85.00
-65.00,28.0540,-75.00
-65.00,21.0115,-65.00
-65.00,13.7095,-55.00
-65.00,7.9330,-45.00
-65.00,5.0995,-35.00
-65.00,5.9005,-25.00
-65.00,10.1425,-15.00
-65.00,16.7845,-5.00
-65.00,24.1990,5.00
-65.00,30.5755,15.00
-65.00,34.3495,25.00
-65.00,34.5970,35.00
-65.00,31.2580,45.00
-65.00,25.1500,55.00
-65.00,17.7685,65.00
-65.00,10.9210,75.00
-65.00,6.2830,85.00
-55.00,33.1840,-95.00
-55.00,31.3480,-85.00
-55.00,26.2900,-75.00
-55.00,19.2475,-65.00
-55.00,11.9455,-55.00
-55.00,6.1690,-45.00
-55.00,3.3355,-35.00
-55.00,4.1365,-25.00
-55.00,8.3785,-15.00
-55.00,15.0205,-5.00
-55.00,22.4350,5.00
-55.00,28.8115,15.00
-55.00,32.5855,25.00
-55.00,32.8330,35.00
-55.00,29.4940,45.00
-55.00,23.3860,55.00
-55.00,16.0045,65.00
-55.00,9.1570,75.00
-55.00,4.5190,85.00
-45.00,26.9680,-95.00
-45.00,25.1320,-85.00
-45.00,20.0740,-75.00
-45.00,13.0315,-65.00
-45.00,5.7295,-55.00
-45.00,-.0470,-45.00
-45.00,-2.8805,-35.00
-45.00,-2.0795,-25.00
-45.00,2.1625,-15.00
-45.00,8.8045,-5.00
-45.00,16.2190,5.00
-45.00,22.5955,15.00
-45.00,26.3695,25.00
-45.00,26.6170,35.00
-45.00,23.2780,45.00
-45.00,17.1700,55.00
-45.00,9.7885,65.00
-45.00,2.9410,75.00
-45.00,-1.6970,85.00
-35.00,17.8220,-95.00
-35.00,15.9860,-85.00
-35.00,10.9280,-75.00
-35.00,3.8855,-65.00
-35.00,-3.4165,-55.00
-35.00,-9.1930,-45.00
-35.00,-12.0265,-35.00
-35.00,-11.2255,-25.00
-35.00,-6.9835,-15.00
-35.00,-.3415,-5.00
-35.00,7.0730,5.00
-35.00,13.4495,15.00
-35.00,17.2235,25.00
-35.00,17.4710,35.00
-35.00,14.1320,45.00
-35.00,8.0240,55.00
-35.00,.6425,65.00
-35.00,-6.2050,75.00
-35.00,-10.8430,85.00
-25.00,7.9860,-95.00
-25.00,6.1500,-85.00
-25.00,1.0920,-75.00
-25.00,-5.9505,-65.00
-25.00,-13.2525,-55.00
-25.00,-19.0290,-45.00
-25.00,-21.8625,-35.00
-25.00,-21.0615,-25.00
-25.00,-16.8195,-15.00
-25.00,-10.1775,-5.00
-25.00,-2.7630,5.00
-25.00,3.6135,15.00
-25.00,7.3875,25.00
-25.00,7.6350,35.00
-25.00,4.2960,45.00
-25.00,-1.8120,55.00
-25.00,-9.1935,65.00
-25.00,-16.0410,75.00
-25.00,-20.6790,85.00
-15.00,-.1360,-95.00
-15.00,-1.9720,-85.00
-15.00,-7.0300,-75.00
-15.00,-14.0725,-65.00
-15.00,-21.3745,-55.00
-15.00,-27.1510,-45.00
-15.00,-29.9845,-35.00
-15.00,-29.1835,-25.00
-15.00,-24.9415,-15.00
-15.00,-18.2995,-5.00
-15.00,-10.8850,5.00
-15.00,-4.5085,15.00
-15.00,-.7345,25.00
-15.00,-.4870,35.00
-15.00,-3.8260,45.00
-15.00,-9.9340,55.00
-15.00,-17.3155,65.00
-15.00,-24.1630,75.00
-15.00,-28.8010,85.00
-5.00,-4.5500,-95.00
-5.00,-6.3860,-85.00
-5.00,-11.4440,-75.00
-5.00,-18.4865,-65.00
-5.00,-25.7885,-55.00
-5.00,-31.5650,-45.00
-5.00,-34.3985,-35.00
-5.00,-33.5975,-25.00
-5.00,-29.3555,-15.00
-5.00,-22.7135,-5.00
-5.00,-15.2990,5.00
-5.00,-8.9225,15.00
-5.00,-5.1485,25.00
-5.00,-4.9010,35.00
-5.00,-8.2400,45.00
-5.00,-14.3480,55.00
-5.00,-21.7295,65.00
-5.00,-28.5770,75.00
-5.00,-33.2150,85.00
5.00,-4.1780,-95.00
5.00,-6.0140,-85.00
5.00,-11.0720,-75.00
5.00,-18.1145,-65.00
5.00,-25.4165,-55.00
5.00,-31.1930,-45.00
5.00,-34.0265,-35.00
5.00,-33.2255,-25.00
5.00,-28.9835,-15.00
5.00,-22.3415,-5.00
5.00,-14.9270,5.00
5.00,-8.5505,15.00
5.00,-4.7765,25.00
5.00,-4.5290,35.00
5.00,-7.8680,45.00
5.00,-13.9760,55.00
5.00,-21.3575,65.00
5.00,-28.2050,75.00
5.00,-32.8430,85.00
15.00,.8900,-95.00
15.00,-.9460,-85.00
15.00,-6.0040,-75.00
15.00,-13.0465,-65.00
15.00,-20.3485,-55.00
15.00,-26.1250,-45.00
15.00,-28.9585,-35.00
15.00,-28.1575,-25.00
15.00,-23.9155,-15.00
15.00,-17.2735,-5.00
15.00,-9.8590,5.00
15.00,-3.4825,15.00
15.00,.2915,25.00
15.00,.5390,35.00
15.00,-2.8000,45.00
15.00,-8.9080,55.00
15.00,-16.2895,65.00
15.00,-23.1370,75.00
15.00,-27.7750,85.00
25.00,9.4120,-95.00
25.00,7.5760,-85.00
25.00,2.5180,-75.00
25.00,-4.5245,-65.00
25.00,-11.8265,-55.00
25.00,-17.6030,-45.00
25.00,-20.4365,-35.00
25.00,-19.6355,-25.00
25.00,-15.3935,-15.00
25.00,-8.7515,-5.00
25.00,-1.3370,5.00
25.00,5.0395,15.00
25.00,8.8135,25.00
25.00,9.0610,35.00
25.00,5.7220,45.00
25.00,-.3860,55.00
25.00,-7.7675,65.00
25.00,-14.6150,75.00
25.00,-19.2530,85.00
35.00,19.3020,-95.00
35.00,17.4660,-85.00
35.00,12.4080,-75.00
35.00,5.3655,-65.00
35.00,-1.9365,-55.00
35.00,-7.7130,-45.00
35.00,-10.5465,-35.00
35.00,-9.7455,-25.00
35.00,-5.5035,-15.00
35.00,1.1385,-5.00
35.00,8.5530,5.00
35.00,14.9295,15.00
35.00,18.7035,25.00
35.00,18.9510,35.00
35.00,15.6120,45.00
35.00,9.5040,55.00
35.00,2.1225,65.00
35.00,-4.7250,75.00
35.00,-9.3630,85.00
45.00,28.1380,-95.00
45.00,26.3020,-85.00
45.00,21.2440,-75.00
45.00,14.2015,-65.00
45.00,6.8995,-55.00
45.00,1.1230,-45.00
45.00,-1.7105,-35.00
45.00,-.9095,-25.00
45.00,3.3325,-15.00
45.00,9.9745,-5.00
45.00,17.3890,5.00
45.00,23.7655,15.00
45.00,27.5395,25.00
45.00,27.7870,35.00
45.00,24.4480,45.00
45.00,18.3400,55.00
45.00,10.9585,65.00
45.00,4.1110,75.00
45.00,-.5270,85.00
55.00,33.7600,-95.00
55.00,31.9240,-85.00
55.00,26.8660,-75.00
55.00,19.8235,-65.00
55.00,12.5215,-55.00
55.00,6.7450,-45.00
55.00,3.9115,-35.00
55.00,4.7125,-25.00
55.00,8.9545,-15.00
55.00,15.5965,-5.00
55.00,23.0110,5.00
55.00,29.3875,15.00
55.00,33.1615,25.00
55.00,33.4090,35.00
55.00,30.0700,45.00
55.00,23.9620,55.00
55.00,16.5805,65.00
55.00,9.7330,75.00
55.00,5.0950,85.00
65.00,34.7860,-95.00
65.00,32.9500,-85.00
65.00,27.8920,-75.00
65.00,20.8495,-65.00
65.00,13.5475,-55.00
65.00,7.7710,-45.00
65.00,4.9375,-35.00
65.00,5.7385,-25.00
65.00,9.9805,-15.00
65.00,16.6225,-5.00
65.00,24.0370,5.00
65.00,30.4135,15.00
65.00,34.1875,25.00
65.00,34.4350,35.00
65.00,31.0960,45.00
65.00,24.9880,55.00
65.00,17.6065,65.00
65.00,10.7590,75.00
65.00,6.1210,85.00
75.00,30.9680,-95.00
75.00,29.1320,-85.00
75.00,24.0740,-75.00
75.00,17.0315,-65.00
75.00,9.7295,-55.00
75.00,3.9530,-45.00
75.00,1.1195,-35.00
75.00,1.9205,-25.00
75.00,6.1625,-15.00
75.00,12.8045,-5.00
75.00,20.2190,5.00
75.00,26.5955,15.00
75.00,30.3695,25.00
75.00,30.6170,35.00
75.00,27.2780,45.00
75.00,21.1700,55.00
75.00,13.7885,65.00
75.00,6.9410,75.00
75.00,2.3030,85.00
85.00,23.2420,-95.00
85.00,21.4060,-85.00
85.00,16.3480,-75.00
85.00,9.3055,-65.00
85.00,2.0035,-55.00
85.00,-3.7730,-45.00
85.00,-6.6065,-35.00
85.00,-5.8055,-25.00
85.00,-1.5635,-15.00
85.00,5.0785,-5.00
85.00,12.4930,5.00
85.00,18.8695,15.00
85.00,22.6435,25.00
85.00,22.8910,35.00
85.00,19.5520,45.00
85.00,13.4440,55.00
85.00,6.0625,65.00
85.00,-.7850,75.00
85.00,-5.4230,85.00
